[description:"Initial setup." entry:"1676672345" modified:"1676749265" project:"Projects.Sunhouse" status:"pending" uuid:"26b597e8-7086-4c02-a11d-6b357cb67f50"]
[description:"Chapter 1." entry:"1676672368" modified:"1676749140" project:"Projects.Sunhouse" status:"pending" uuid:"a3e08efb-683a-4c61-86b4-9c54e4bcae01"]
[dep_1b40888f-4b0a-4368-b89c-c6ae7436d107:"x" depends:"1b40888f-4b0a-4368-b89c-c6ae7436d107" description:"_Hugo in Action_, ch. 7" entry:"1676749228" modified:"1676776356" project:"Projects.Darkdell" start:"1676776356" status:"pending" uuid:"241dcdf9-3576-480a-8df8-c065df0da657"]
[dep_241dcdf9-3576-480a-8df8-c065df0da657:"x" depends:"241dcdf9-3576-480a-8df8-c065df0da657" description:"_Hugo in Action_, ch. 8" entry:"1676749232" modified:"1676749348" project:"Projects.Darkdell" status:"pending" uuid:"6dfa8a0b-4cff-47ce-92c9-da4482f0bac2"]
[dep_6dfa8a0b-4cff-47ce-92c9-da4482f0bac2:"x" depends:"6dfa8a0b-4cff-47ce-92c9-da4482f0bac2" description:"_Hugo in Action_, ch. 9" entry:"1676749236" modified:"1676749348" project:"Projects.Darkdell" status:"pending" uuid:"78fd4e60-948c-453e-9b5c-4dce05e11ad3"]
[dep_78fd4e60-948c-453e-9b5c-4dce05e11ad3:"x" depends:"78fd4e60-948c-453e-9b5c-4dce05e11ad3" description:"_Hugo in Action_, ch. 10" entry:"1676749240" modified:"1676749348" project:"Projects.Darkdell" status:"pending" uuid:"3c6ae210-79c5-4315-a9b7-26632821694c"]
[dep_3c6ae210-79c5-4315-a9b7-26632821694c:"x" depends:"3c6ae210-79c5-4315-a9b7-26632821694c" description:"_Hugo in Action_, ch. 11" entry:"1676749244" modified:"1676749348" project:"Projects.Darkdell" status:"pending" uuid:"f5569ae8-29b3-4764-8334-90ec168fd3ee"]
[dep_f5569ae8-29b3-4764-8334-90ec168fd3ee:"x" depends:"f5569ae8-29b3-4764-8334-90ec168fd3ee" description:"_Hugo in Action_, ch. 12" entry:"1676749248" modified:"1676749348" project:"Projects.Darkdell" status:"pending" uuid:"3aada5fd-d905-4788-88e9-6ed56972b90d"]
[dep_3aada5fd-d905-4788-88e9-6ed56972b90d:"x" depends:"3aada5fd-d905-4788-88e9-6ed56972b90d" description:"_Hugo in Action_, ch. 13" entry:"1676749252" modified:"1676749348" project:"Projects.Darkdell" status:"pending" uuid:"378eeb8c-7e5d-4702-9261-4b2ba324d381"]
