[dep_ceed6fa0-a32b-4a8b-b588-1efa07cd1ab7:"x" depends:"ceed6fa0-a32b-4a8b-b588-1efa07cd1ab7" description:"_Hugo in Action_, ch. 6" end:"1676776348" entry:"1676749224" modified:"1676776348" project:"Projects.Darkdell" status:"completed" uuid:"1b40888f-4b0a-4368-b89c-c6ae7436d107"]
[description:"_Hugo in Action_, ch. 3" end:"1676749555" entry:"1676749186" modified:"1676749555" project:"Projects.Darkdell" status:"completed" uuid:"78ddf0a0-8665-4eea-acde-3c654b801105"]
[dep_78ddf0a0-8665-4eea-acde-3c654b801105:"x" depends:"78ddf0a0-8665-4eea-acde-3c654b801105" description:"_Hugo in Action_, ch. 4" end:"1676754237" entry:"1676749195" modified:"1676754237" project:"Projects.Darkdell" status:"completed" uuid:"7e017523-7c74-4b1e-95e6-ccfb16940be4"]
[dep_7e017523-7c74-4b1e-95e6-ccfb16940be4:"x" depends:"7e017523-7c74-4b1e-95e6-ccfb16940be4" description:"_Hugo in Action_, ch. 5" end:"1676765352" entry:"1676749199" modified:"1676765352" project:"Projects.Darkdell" status:"completed" uuid:"ceed6fa0-a32b-4a8b-b588-1efa07cd1ab7"]
